RowLabels,y,COL+GPAT_CO_AT+ENV_PAT,COL+GPAT_CO_PR+ENV_PAT,COL+GPAT_CO_PR+TOT,DEV+GPAT_DE_AI+ENV_PAT,DEV+GPAT_DE_AT+ENV_PAT,DEV+GPAT_DE_CAP+ENV_PAT,DEV+GPAT_DE_GBAORD+ENV_PAT,DEV+GPAT_DE_PERC+BUILD,DEV+GPAT_DE_PERC+ENE,DEV+GPAT_DE_PERC+GHG,DEV+GPAT_DE_PERC+GOODS,DEV+GPAT_DE_PERC+ICT,DEV+GPAT_DE_PERC+MAN,DEV+GPAT_DE_PERC+TRA,DEV+GPAT_DE_PERC+WAT,DEV+GPAT_DE_PERC+WAT_WASTE,DIFF+GPAT_DI_AI+ENV_PAT,DIFF+GPAT_DI_AT+ENV_PAT,DIFF+GPAT_DI_PERC+BUILD,DIFF+GPAT_DI_PERC+ENE,DIFF+GPAT_DI_PERC+GHG,DIFF+GPAT_DI_PERC+GOODS,DIFF+GPAT_DI_PERC+ICT,DIFF+GPAT_DI_PERC+MAN,DIFF+GPAT_DI_PERC+TRA,DIFF+GPAT_DI_PERC+WAT,DIFF+GPAT_DI_PERC+WAT_WASTE,RENEW+GPAT_DE_RERD+ENV_PAT
AUS2008,42279.15,5.8,45.54,582.61,1.09,11.96,14.63,1.17,5.8,29.31,2.44,15.96,0.92,23.14,6.13,10.57,5.73,3.27,10.26,4.72,24.95,2.82,16.91,2.24,30.52,6.46,6.6,4.77,3.63
AUS2009,42574.69,6.02,35.19,440.44,1.04,12.85,15.09,0.73,3.76,28.89,3.33,13.57,0.4,32.86,5.91,6.32,4.95,3.33,11.26,5.41,27.69,3.7,15.37,1.8,29.13,6.39,5.75,4.77,1.8
AUS2010,42574.69,8,54,525.28,0.9,13.53,14.56,0.79,5.02,27.15,3.47,15.15,0.88,30.7,6.49,5.37,5.77,3.5,12.61,5.58,27.54,3.26,17.43,1.89,28.6,5.99,4.89,4.84,1.43
AUS2011,43483.14,10.08,52.2,562.59,0.8,12.13,13.37,0.82,8.69,23.33,1.37,17.39,1.72,32.11,5.64,4.73,5.01,3.02,11.61,5.63,26.82,2.86,16.89,2.56,28.32,7.19,4.63,5.1,0.64
AUS2012,43907.62,9.06,49.2,570.15,0.72,10.87,11.97,0.74,15.64,24.41,1.64,11.62,1.92,26.97,6.67,7.16,3.97,2.76,10.99,6.31,28.19,2.9,15.25,2.55,27.31,7.64,4.8,5.06,0.45
AUS2013,44355.80,7.67,55.44,646.05,0.75,10.55,11.98,0.5,10.53,23.48,2.44,14.5,3.26,26.58,5.68,7.17,6.36,2.5,9.82,5.99,24.98,2.61,16.38,4.91,28.99,6.28,4.18,5.68,0.21
AUS2014,44735.02,6.39,38.35,572.26,0.75,10.27,11.37,0.5,12.39,27.93,0.9,13.42,3.28,24.61,6.87,5.94,4.65,2.17,8.93,6.83,23.95,2.01,17.39,2.98,29.47,7,5.61,4.77,1.08
AUS2015,45362.43,6.34,39.53,577.22,0.75,9.61,10.55,0.62,6.02,25.34,2.56,17.99,2.39,25.57,8.3,6.87,4.95,2.06,8.14,6.44,27.16,1.97,17.63,3.16,27.23,6.1,4.09,6.23,0.59
AUS2016,45793.25,5.63,36.26,540.02,0.77,9.16,10.18,0.55,6.87,18.09,1.79,19.15,1.79,33.35,5.73,4.81,8.43,2.19,7.75,8.4,23.37,2.21,16.28,4.71,27.97,6.85,4.58,5.64,1.34
AUT2008,42279.15,13.16,109.18,813.8,1.04,12.94,35.58,5.03,11.9,18.57,0.44,11.51,0.73,38.29,10.61,2.53,5.41,1.51,10.88,6.64,16.48,0.7,8.98,2.01,39.1,20.12,2.54,3.44,2.01
